name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
TRONIC MCB SP 20A 6K MC 1020-6K NEW INDIA,TMSKMNI1,code128,TRONIC,HW001,U002,U002,U002,141,310,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC MCB SP 32A 6K MC 1032-6K NEW INDIA,TMSKMNI2,code128,TRONIC,HW001,U002,U002,U002,141,310,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCB DOUBLE POLE 6KA 63AMP,TMSKMNI3,code128,TRONIC,HW001,U002,U002,U002,409,650,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC ISOLATOR 100A SP MC IS02-100,TMSKMNI4,code128,TRONIC,HW001,U002,U002,U002,474,750,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCB THREE POLE 6KA 32AMP,TMSKMNI5,code128,TRONIC,HW001,U002,U002,U002,595,1900,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC MCB TP 63A MC 3063-6K,TMSKMNI6,code128,TRONIC,HW001,U002,U002,U002,629,2350,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC DISTRIBUTION BOARD 4WAY TPN (41DBSS) OLD,TMSKMNI7,code128,TRONIC,HW001,U002,U002,U002,6810,9999,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC DISTRIBUTION BOARD 6WAY TPN (61DBSS) OLD,TMSKMNI8,code128,TRONIC,HW001,U002,U002,U002,8060,12500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC DISTRIBUTION BOARD 8WAY TPN (81DBSS) OLD,TMSKMNI9,code128,TRONIC,HW001,U002,U002,U002,9009,14800,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC CONSUMER UNIT 6 WAYS SP EMPTY WITH 6K 100,TMSKMNI10,code128,TRONIC,HW001,U002,U002,U002,2052,3900,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC CONSUMER UNIT 8 WAYS SP EMPTY WITH 6K 100,TMSKMNI11,code128,TRONIC,HW001,U002,U002,U002,2457,4500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC CONSUMER UNIT 12 WAYS SP EMPTY WITH 6K 100,TMSKMNI12,code128,TRONIC,HW001,U002,U002,U002,2716,5200,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
